Jahr,QuarSort,QuarLang,AnzSterWir
2010,81,"Seefeld",27
2010,82,"Mühlebach",32
2010,83,"Weinegg",73
2010,91,"Albisrieden",238
2010,92,"Altstetten",229
2010,101,"Höngg",203
2010,102,"Wipkingen",149
2010,111,"Affoltern",116
2010,115,"Oerlikon",156
2010,119,"Seebach",153
2010,121,"Saatlen",37
2010,122,"Schwamendingen-Mitte",75
2010,123,"Hirzenbach",129
2011,11,"Rathaus",18
2011,12,"Hochschulen",27
2011,13,"Lindenhof",7
2011,14,"City",9
2011,21,"Wollishofen",220
2011,23,"Leimbach",58
2011,24,"Enge",69
2011,31,"Alt-Wiedikon",89
2011,33,"Friesenberg",130
2011,34,"Sihlfeld",161
2011,41,"Werd",34
2011,42,"Langstrasse",71
2011,44,"Hard",84
2011,51,"Gewerbeschule",54
2011,52,"Escher Wyss",11
2011,61,"Unterstrass",129
2011,63,"Oberstrass",80
2011,71,"Fluntern",78
2011,72,"Hottingen",96
2011,73,"Hirslanden",74
2011,74,"Witikon",143
2011,81,"Seefeld",28
2011,82,"Mühlebach",35
2011,83,"Weinegg",66
2011,91,"Albisrieden",221
2011,92,"Altstetten",243
2011,101,"Höngg",175
2011,102,"Wipkingen",173
2011,111,"Affoltern",124
2011,115,"Oerlikon",158
2011,119,"Seebach",155
2011,121,"Saatlen",46
2011,122,"Schwamendingen-Mitte",99
2011,123,"Hirzenbach",125
2012,11,"Rathaus",15
2012,12,"Hochschulen",22
2012,13,"Lindenhof",6
2012,14,"City",6
2012,21,"Wollishofen",208
2012,23,"Leimbach",66
2012,24,"Enge",73
2012,31,"Alt-Wiedikon",103
2012,33,"Friesenberg",123
2012,34,"Sihlfeld",183
2012,41,"Werd",33
2012,42,"Langstrasse",68
2012,44,"Hard",98
2012,51,"Gewerbeschule",62
2012,52,"Escher Wyss",12
2012,61,"Unterstrass",125
2012,63,"Oberstrass",84
2012,71,"Fluntern",73
2012,72,"Hottingen",94
2012,73,"Hirslanden",92
2012,74,"Witikon",140
2012,81,"Seefeld",24
2012,82,"Mühlebach",33
2012,83,"Weinegg",73
2012,91,"Albisrieden",209
2012,92,"Altstetten",240
2012,101,"Höngg",163
2012,102,"Wipkingen",162
2012,111,"Affoltern",145
2012,115,"Oerlikon",168
2012,119,"Seebach",162
2012,121,"Saatlen",34
2012,122,"Schwamendingen-Mitte",103
2012,123,"Hirzenbach",128
2013,11,"Rathaus",13
2013,12,"Hochschulen",21
2013,13,"Lindenhof",6
2013,14,"City",8
2013,21,"Wollishofen",286
2013,23,"Leimbach",77
2013,24,"Enge",80
2013,31,"Alt-Wiedikon",94
2013,33,"Friesenberg",116
2013,34,"Sihlfeld",163
2013,41,"Werd",28
2013,42,"Langstrasse",73
2013,44,"Hard",95
2013,51,"Gewerbeschule",51
2013,52,"Escher Wyss",9
2013,61,"Unterstrass",135
2013,63,"Oberstrass",70
2013,71,"Fluntern",76
2013,72,"Hottingen",103
2013,73,"Hirslanden",90
2013,74,"Witikon",140
2013,81,"Seefeld",24
2013,82,"Mühlebach",41
2013,83,"Weinegg",82
2013,91,"Albisrieden",235
2013,92,"Altstetten",227
2013,101,"Höngg",206
2013,102,"Wipkingen",163
2013,111,"Affoltern",124
2013,115,"Oerlikon",181
2013,119,"Seebach",146
2013,121,"Saatlen",41
2013,122,"Schwamendingen-Mitte",89
2013,123,"Hirzenbach",172
2014,11,"Rathaus",20
2014,12,"Hochschulen",21
2014,13,"Lindenhof",6
2014,14,"City",7
2014,21,"Wollishofen",206
2014,23,"Leimbach",65
2014,24,"Enge",80
2014,31,"Alt-Wiedikon",89
2014,33,"Friesenberg",96
2014,34,"Sihlfeld",173
2014,41,"Werd",40
2014,42,"Langstrasse",64
2014,44,"Hard",111
2014,51,"Gewerbeschule",48
2014,52,"Escher Wyss",10
2014,61,"Unterstrass",117
2014,63,"Oberstrass",108
2014,71,"Fluntern",64
2014,72,"Hottingen",121
2014,73,"Hirslanden",97
2014,74,"Witikon",137
2014,81,"Seefeld",24
2014,82,"Mühlebach",48
2014,83,"Weinegg",92
2014,91,"Albisrieden",191
2014,92,"Altstetten",238
2014,101,"Höngg",196
2014,102,"Wipkingen",162
2014,111,"Affoltern",154
2014,115,"Oerlikon",156
2014,119,"Seebach",142
2014,121,"Saatlen",34
2014,122,"Schwamendingen-Mitte",91
2014,123,"Hirzenbach",126
2015,11,"Rathaus",17
2015,12,"Hochschulen",25
2015,13,"Lindenhof",7
2015,14,"City",7
2015,21,"Wollishofen",236
2015,23,"Leimbach",78
2015,24,"Enge",90
2015,31,"Alt-Wiedikon",95
2015,33,"Friesenberg",107
2015,34,"Sihlfeld",167
2015,41,"Werd",44
2015,42,"Langstrasse",76
2015,44,"Hard",88
2015,51,"Gewerbeschule",55
2015,52,"Escher Wyss",10
2015,61,"Unterstrass",112
2015,63,"Oberstrass",99
2015,71,"Fluntern",69
2015,72,"Hottingen",94
2015,73,"Hirslanden",94
2015,74,"Witikon",148
2015,81,"Seefeld",20
2015,82,"Mühlebach",35
2015,83,"Weinegg",86
2015,91,"Albisrieden",236
2015,92,"Altstetten",220
2015,101,"Höngg",203
2015,102,"Wipkingen",155
2015,111,"Affoltern",155
2015,115,"Oerlikon",146
2015,119,"Seebach",156
2015,121,"Saatlen",39
2015,122,"Schwamendingen-Mitte",91
2015,123,"Hirzenbach",140
2016,11,"Rathaus",16
2016,12,"Hochschulen",10
2016,13,"Lindenhof",9
2016,14,"City",7
2016,21,"Wollishofen",224
2016,23,"Leimbach",53
2016,24,"Enge",74
2016,31,"Alt-Wiedikon",78
2016,33,"Friesenberg",107
2016,34,"Sihlfeld",166
2016,41,"Werd",43
2016,42,"Langstrasse",76
2016,44,"Hard",92
2016,51,"Gewerbeschule",35
2016,52,"Escher Wyss",18
2016,61,"Unterstrass",113
2016,63,"Oberstrass",88
2016,71,"Fluntern",68
2016,72,"Hottingen",85
2016,73,"Hirslanden",101
2016,74,"Witikon",119
2016,81,"Seefeld",20
2016,82,"Mühlebach",28
2016,83,"Weinegg",92
2016,91,"Albisrieden",198
2016,92,"Altstetten",230
2016,101,"Höngg",196
2016,102,"Wipkingen",139
2016,111,"Affoltern",153
2016,115,"Oerlikon",165
2016,119,"Seebach",142
2016,121,"Saatlen",30
2016,122,"Schwamendingen-Mitte",71
2016,123,"Hirzenbach",132
2017,11,"Rathaus",14
2017,12,"Hochschulen",19
2017,13,"Lindenhof",7
2017,14,"City",11
2017,21,"Wollishofen",228
2017,23,"Leimbach",53
2017,24,"Enge",72
2017,31,"Alt-Wiedikon",77
2017,33,"Friesenberg",95
2017,34,"Sihlfeld",174
2017,41,"Werd",41
2017,42,"Langstrasse",67
2017,44,"Hard",85
2017,51,"Gewerbeschule",67
2017,52,"Escher Wyss",7
2017,61,"Unterstrass",120
2017,63,"Oberstrass",74
2017,71,"Fluntern",61
2017,72,"Hottingen",73
2017,73,"Hirslanden",100
2017,74,"Witikon",162
2017,81,"Seefeld",27
2017,82,"Mühlebach",46
2017,83,"Weinegg",73
2017,91,"Albisrieden",207
2017,92,"Altstetten",249
2017,101,"Höngg",205
2017,102,"Wipkingen",133
2017,111,"Affoltern",145
2017,115,"Oerlikon",175
2017,119,"Seebach",162
2017,121,"Saatlen",22
2017,122,"Schwamendingen-Mitte",83
2017,123,"Hirzenbach",145
2018,11,"Rathaus",15
2018,12,"Hochschulen",24
2018,13,"Lindenhof",5
2018,14,"City",5
2018,21,"Wollishofen",216
2018,23,"Leimbach",71
2018,24,"Enge",75
2018,31,"Alt-Wiedikon",88
2018,33,"Friesenberg",114
2018,34,"Sihlfeld",172
2018,41,"Werd",38
2018,42,"Langstrasse",57
2018,44,"Hard",89
2018,51,"Gewerbeschule",62
2018,52,"Escher Wyss",8
2018,61,"Unterstrass",117
2018,63,"Oberstrass",85
2018,71,"Fluntern",62
2018,72,"Hottingen",83
2018,73,"Hirslanden",98
2018,74,"Witikon",150
2018,81,"Seefeld",30
2018,82,"Mühlebach",38
2018,83,"Weinegg",58
2018,91,"Albisrieden",218
2018,92,"Altstetten",234
2018,101,"Höngg",215
2018,102,"Wipkingen",110
2018,111,"Affoltern",129
2018,115,"Oerlikon",173
2018,119,"Seebach",119
2018,121,"Saatlen",38
2018,122,"Schwamendingen-Mitte",85
2018,123,"Hirzenbach",154
2019,11,"Rathaus",20
2019,12,"Hochschulen",26
2019,13,"Lindenhof",3
2019,14,"City",10
2019,21,"Wollishofen",199
2019,23,"Leimbach",64
2019,24,"Enge",68
2019,31,"Alt-Wiedikon",85
2019,33,"Friesenberg",104
2019,34,"Sihlfeld",157
2019,41,"Werd",40
2019,42,"Langstrasse",59
2019,44,"Hard",80
2019,51,"Gewerbeschule",68
2019,52,"Escher Wyss",10
2019,61,"Unterstrass",118
2019,63,"Oberstrass",55
2019,71,"Fluntern",54
2019,72,"Hottingen",79
2019,73,"Hirslanden",98
2019,74,"Witikon",147
2019,81,"Seefeld",26
2019,82,"Mühlebach",41
2019,83,"Weinegg",75
2019,91,"Albisrieden",206
2019,92,"Altstetten",242
2019,101,"Höngg",205
2019,102,"Wipkingen",112
2019,111,"Affoltern",124
2019,115,"Oerlikon",149
2019,119,"Seebach",140
2019,121,"Saatlen",29
2019,122,"Schwamendingen-Mitte",85
2019,123,"Hirzenbach",166
